id_recipe,quantity,measure,id_ingredient
48,3,cl de,4
48,15,cl de,80
49,6,cl de,81
49,1,cl de,61
49,1,cl de,30
49,1,cl de,1
50,quelques,morceaux de,82
50,1,cl de,83
50,1,cl de,16
50,6,cl de,42
51,2,cl de,32
51,4,cl de,84
51,1,cl de,25
52,1,cl de,1
52,5,cl de,5
52,10,cl de,81
52,2,cl de,1
53,2,cl de,4
53,2,cl de,8
53,2,cl de,2
53,1,cl de,85
54,2,cl de,30
54,2,cl de,2
54,2,cl de,86
54,2,cl de,13
55,6,cl de,87
55,2,cl de,11
56,1,cl de,88
56,3,cl de,89
56,,,6
57,2,cl de,4
57,1,cl de,86
57,1,cl de,8
57,,,20
58,0.5,cl de,25
58,2,cl de,32
58,1,cl de,24
58,1,cl de,53
58,2,cl de,90
59,1,,91
59,75,cl de,4
59,40,gouttes d',92
59,1,cuillère à café de grains de,93
59,1,bâton de,47
59,1,morceau de,94
59,4,grains,95
59,4,,96
60,0.5,cl de,75
60,4,cl de,97
60,0.5,cl de,98
60,2,cl de,9
61,2,cl de,35
61,2,cl de,8
61,2,cl de,2
62,3,cl de,35
62,3,cl de,37
62,1,cl de,16
62,1,cl de,99
63,,,69
63,6,cl de,32
64,3,cl de,100
64,3,cl de,101
64,,,20
65,3,cl de,86
65,3,cl de,5
66,2,cl de,3
66,2,cl de,2
66,0.5,cl de,53
66,2,cl de,81
67,250,cl de,102
67,250,grammes de,103
67,100,cl de,35
68,,,104
68,,,57
68,3,cl de,4
68,1,quartier de,54
69,4,cl de,5
69,2,cl de,36
69,0.5,cl de,30
70,10,cl de,79
70,5,cl de,83
71,4,cl de,4
71,2,cl de,11
71,,,12
71,40,grammes de,105
72,0.5,cl de,30
72,3,cl de,5
72,1.5,cl de,75
72,1.5,cl de,106
72,1.5,cl de,107
73,3,cl de,3
73,3,cl de,5
73,3,cl de,2
74,20,cl de,9
74,12,cl de,108
74,0.5,cl de,109
74,5-6,,19
75,2,cl de,2
75,2,cl de,3
75,0.5,cl de,30
75,2,cl d',76
76,2,cl de,110
76,4,cl de,111
76,2,cl de,16
76,1,cuillère de,32
77,3,cl de,9
77,3,cl de,112
77,1,cl de,113
78,9,cl de,8
78,3,cl de,114
78,3,cl de,29
79,12,cl de,108
79,12,cl de,115
79,1,cl de,11
79,1,cl de,102
80,1,cl de,53
80,1,cl de,116
80,4,cl de,3
81,,,79
81,3,cl de,4
81,2,cl de,75
81,0.5,cl de,109
81,1,cl de,117
82,,,51
82,5,cl de,35
82,3,cl de,100
82,2,cl de,16
83,2,cl de,3
83,2,cl de,58
83,2,cl de,2
83,1,cl de,106
83,1,cl de,1
83,1,cl de,118
84,15,cl de,119
84,1,,120
84,2,cl de,16
84,1,jaune d',50
84,3,traits de,121
84,,,122
84,,,123
85,,jus,9
85,2,cl de,124
85,2,cl de,29
85,2,cl de,39
85,1,cl de,125
86,250,grammes de,64
86,9,cl de,126
86,1,,127
86,25,cl de,8
86,125,grammes de,19
86,3,cl de,102
87,3,cl d',128
87,2,cl de,4
87,4,cl de,15
88,1,,127
88,30,cl d',20
88,1,pincée de,129
89,4,cl de,5
89,2,cl de,16
89,2,cl de,49
89,1,cuillère à café de,130
90,5,cl de,131
90,10,cl de,132
91,100,cl de,133
91,12.5,cl de,2
91,6,cl de,134
91,2,litres de,81
91,2,litres de,7
91,1.5,cl de,83
91,18,cl de,109
