index,name
839,liqueur de pastèques
840,alcool de pêche
841,schnapps à la menthe
842,liqueur de griotte
843,noyau de poissy
844,crème de châtaigne
845,quinquina
846,bractées de tilleul
847,zestes d'oranges 
848,sorbet à la mangue
849,huîtres
850,whisky ambré
851,extrait d'anis pur
852,bâtons de réglisse
853,vodka cranberry
854,curry
855,anéthol
856,bâtons de reglisse
857,"spiritueux anisé (pastis, ricard, pernod) "
858,eau-de-vie de prunes
859,tisane de menthe fraîche
860,porto pink
861,irish mist
862,cocktails de fruits
863,petits pois
864,ficelle
865,cardamome verte
866,quinquina rouge
867,puré de piment
868,purée d'ananas
869,sirop de pamplemousse rose
870,schrubb
871,infusion de tilleul
872,jeune pousse d'épine noire
873,liqueur d'armagnac à l'orange
874,ketchup
875,sirop contre la toux
876,boules de glace au chocolat
877,danao pomme-fruits exotiques
878,jus de prunes
879,nectar de coco
880,jus de raisins rouges
881,jus de fleurs de sureau
882,yaourt au coco
883,bibasse (bibas)
884,grains de bibasse (bibas)
885,grains de café
886,huiles essentielles
887,levure de bière
888,cerises au kirsch
889,fahan
890,épices
891,oeillets
892,feuilles d'oranger séchées
893,piment d'espelette
894,crème de pamplemousse rose
895,eau 
896,eau de rose
897,cerises à l'eau de vie
898,tomates cerises
899,liqueur de goyave
900,sorbet au cassis
901,dubonnet blanc
902,farine de riz
903,huile de nigelle
904,nectarines
905,sirop de sangria
906,fruits des bois
907,crème de noisette
908,crème de marron
909,sauternes
910,buttershot
911,graines d'angélique
912,cachaca
913,sorbet de crème brûlée
914,liqueur de pistache
915,salade de feuilles de chêne
916,van der hum
917,mimosas
918,jus de myrtilles
919,pistaches
920,fleurs de tilleul
921,bonbons acidulés
922,cardamone en poudre
923,agave bleu
924,acacia
925,absinthe fleurie
926,alandes amères
927,épicéa
928,arbouses
929,érables
930,poudre d'amande
931,extrait d'amande amère
932,baies de sureau noir
933,vergeoise brune
934,jus de canne à sucre
935,eau-de-vie de poires william
936,sirop d'airelles
937,fleurs de jasmin
938,sour power
939,orteil
940,thibarine
941,pommes reinettes
942,orangina rouge
943,smarties
944,charleston follies
945,tomate
946,pruneaux
947,yaourt velouté
948,goji
949,sirop de tarte au citron
950,jus de cerise au maraquin
951,zucca rabarbaro
952,bergamote
953,tequila rose
954,spiked silver
955,sorbet à la mandarine
956,sirop de tiramisu
957,thé à la bergamote
958,oignon
959,vinaigre de cidre
960,jus de cresson
961,jus de radis
962,crème de cassi
963,zestes d'orange
964,alcool à 96°
965,sorbet à la pomme verte
966,épines noires
967,rhum letchi
968,eau de mer
969,fleur d'iris
970,dragibus (bonbons)
971,car en sac (bonbons)
972,schnaps vanille
973,piment rouge
974,navets nouveaux
975,poireau
976,oseille
977,chou blanc
978,salade de mache
979,pêcher
980,tisane à la verveine
981,liqueur de noix
982,baies d'épine vinette
983,jus de rhubarbe
984,alcool à 60°
985,vinaigre blanc
986,vinaigre de vin
987,levure boulangère
988,pomme de terre
989,levain de farine
990,feuilles de figuier
991,ményante
992,jonc odorant
993,orange douce
994,camphre
995,rue fétide
996,roses
997,feuilles de griottier
998,liqueur d'anis
999,skittles
1000,bonbons arlequin
1001,houblon
1002,fleurs de marjolaine
1003,fleurs de pâquerette
1004,sirop de poire
1005,fleurs de pissenlit
1006,malabars
1007,virus
1008,friandises bouteilles de cola
1009,piments rouge
1010,purée de cerises
1011,eau-de-vie de mûre
1012,lait de chèvre
1013,eau-de-vie d'abricots
1014,laitue romaine
1015,sorbet de banane
1016,thé de ceylan
